title,painter,creation_date,author_gender,author_country,location_name,location_country,time_period,image_path,image_url
title,Vincent van Gogh,1887.0,male,Kingdom of the Netherlands,Van Gogh Museum,Netherlands,,img/img_512/Courtisane (naar Eisen) - s0116V1962 - Van Gogh Museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Courtisane%20%28naar%20Eisen%29%20-%20s0116V1962%20-%20Van%20Gogh%20Museum.jpg
title,Vincent van Gogh,1887.0,male,Kingdom of the Netherlands,Van Gogh Museum,Netherlands,,img/img_512/Rode kolen en uien - s0082V1962 - Van Gogh Museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Rode%20kolen%20en%20uien%20-%20s0082V1962%20-%20Van%20Gogh%20Museum.jpg
title,Vincent van Gogh,1889.0,male,Kingdom of the Netherlands,Van Gogh Museum,Netherlands,,img/img_512/Wilde rozen - s0190V1962 - Van Gogh Museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Wilde%20rozen%20-%20s0190V1962%20-%20Van%20Gogh%20Museum.jpg
title,Vincent van Gogh,1887.0,male,Kingdom of the Netherlands,Van Gogh Museum,Netherlands,,img/img_512/Druiven - s0194V1962 - Van Gogh Museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Druiven%20-%20s0194V1962%20-%20Van%20Gogh%20Museum.jpg
title,Vincent van Gogh,1889.0,male,Kingdom of the Netherlands,Van Gogh Museum,Netherlands,,img/img_512/Vlinders en klaprozen - s0188V1962 - Van Gogh Museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Vlinders%20en%20klaprozen%20-%20s0188V1962%20-%20Van%20Gogh%20Museum.jpg
title,Vincent van Gogh,1889.0,male,Kingdom of the Netherlands,Van Gogh Museum,Netherlands,,img/img_512/Rozen - s0187V1962 - Van Gogh Museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Rozen%20-%20s0187V1962%20-%20Van%20Gogh%20Museum.jpg
title,Vincent van Gogh,1890.0,male,Kingdom of the Netherlands,Van Gogh Museum,Netherlands,,img/img_512/Vaas met bloemen - s0109V1962 - Van Gogh Museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Vaas%20met%20bloemen%20-%20s0109V1962%20-%20Van%20Gogh%20Museum.jpg
title,Paul Klee,1920.0,male,Switzerland,Solomon R. Guggenheim Museum,United States of America,,img/img_512/GUGG White Blossom in the Garden.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/GUGG%20White%20Blossom%20in%20the%20Garden.jpg
title,Pierre-Auguste Renoir,1886.0,male,France,Städel Museum,Germany,,img/img_512/Renoir Lesendes Mädchen@Städel Museum Frankfurt20170818.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Renoir%20Lesendes%20M%C3%A4dchen%40St%C3%A4del%20Museum%20Frankfurt20170818.jpg
title,Alfred Sisley,1873.0,male,France,Hamburger Kunsthalle,Germany,,img/img_512/Alfred Sisley 031.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Sisley%20031.jpg
